source,target,weight
103,954,0.25476768612861633
103,1279,0.2362017035484314
103,2030,0.23382285237312317
103,1247,0.22006063163280487
103,2950,0.21436730027198792
103,412,0.21058480441570282
103,2703,0.2024158239364624
103,2009,0.19212882220745087
103,1405,0.19143953919410706
103,1678,0.1913469284772873
1157,32,0.20761623978614807
1157,1844,0.20754122734069824
1157,1453,0.20634295046329498
1157,1569,0.2033831775188446
1157,2926,0.19834256172180176
1157,2528,0.19746342301368713
1157,2944,0.19527539610862732
1157,1152,0.19260528683662415
1157,3175,0.18738949298858643
1157,669,0.18592485785484314
27,2522,0.24232278764247894
27,945,0.24157385528087616
27,2111,0.2308458685874939
27,173,0.22176368534564972
27,2066,0.2176770269870758
27,2248,0.21479949355125427
27,31,0.21302124857902527
27,1077,0.20691484212875366
27,347,0.20400048792362213
27,2611,0.20135842263698578
13,2136,0.23663151264190674
13,2324,0.23167026042938232
13,1399,0.22370897233486176
13,1447,0.20887808501720428
13,1490,0.2038262039422989
13,2768,0.2017134726047516
13,3141,0.19273081421852112
13,1089,0.19127677381038666
13,798,0.19114607572555542
13,1345,0.19008032977581024
46,733,0.3021053671836853
46,79,0.25002753734588623
46,3075,0.24219344556331635
46,2822,0.22896692156791687
46,1115,0.22796271741390228
46,2078,0.2267947643995285
46,2241,0.22538502514362335
46,1113,0.22252047061920166
46,982,0.21433182060718536
46,91,0.210225448012352
535,1951,0.25009652972221375
535,1173,0.2348642200231552
535,3383,0.21895134449005127
535,600,0.21824507415294647
535,2656,0.2160000056028366
535,1656,0.2128133922815323
535,1409,0.21098601818084717
535,1674,0.20537275075912476
535,131,0.19897383451461792
535,2674,0.19671224057674408
513,1024,0.2365017682313919
513,1677,0.20956093072891235
513,997,0.20755012333393097
513,1595,0.20295937359333038
513,348,0.20011885464191437
513,1437,0.19725406169891357
513,3364,0.19597545266151428
513,2989,0.1920892745256424
513,1692,0.18909527361392975
513,2820,0.18848831951618195
61,3135,0.2286021113395691
61,770,0.22230878472328186
61,3290,0.21785473823547363
61,2678,0.20747269690036774
61,2898,0.1979495733976364
61,3269,0.1904425472021103
61,2197,0.18837252259254456
61,845,0.18754354119300842
61,363,0.18551650643348694
61,3117,0.1784755140542984
1671,2717,0.22312381863594055
1671,2874,0.22095857560634613
1671,1358,0.211935892701149
1671,2140,0.21151912212371826
1671,710,0.21126583218574524
1671,1078,0.21016162633895874
1671,2794,0.2056524008512497
1671,3213,0.20463411509990692
1671,3069,0.2043013572692871
1671,436,0.20294378697872162
576,1286,0.26520222425460815
576,122,0.23645663261413574
576,237,0.23112568259239197
576,3242,0.21990850567817688
576,1941,0.2077043652534485
576,1258,0.20469990372657776
576,2172,0.20222210884094238
576,2624,0.19750018417835236
576,3354,0.1894926130771637
576,1445,0.1894228160381317
36,2312,0.23277775943279266
36,1361,0.23270656168460846
36,939,0.23085668683052063
36,1017,0.21884803473949432
36,1615,0.21809124946594238
36,491,0.21610425412654877
36,693,0.2133890688419342
36,1993,0.21069496870040894
