source,target,weight
409,366,0.21983955800533295
409,369,0.2117382287979126
409,3298,0.2109106183052063
409,227,0.20560039579868317
409,2583,0.19863882660865784
86,665,0.23438873887062073
86,1486,0.23205842077732086
86,1289,0.2129039764404297
86,3009,0.2092515379190445
86,1325,0.18839065730571747
6,1757,0.32758381962776184
6,553,0.21833866834640503
6,962,0.21600869297981262
6,1899,0.21523922681808472
6,786,0.20636288821697235
176,1210,0.24040590226650238
176,346,0.24037295579910278
176,1047,0.23838600516319275
176,373,0.22600898146629333
176,2886,0.21438708901405334
103,954,0.25476768612861633
103,1279,0.2362017035484314
103,2030,0.23382285237312317
103,1247,0.22006063163280487
103,2950,0.21436730027198792
212,1843,0.2442607879638672
212,3129,0.2323349118232727
212,991,0.23216460645198822
212,10,0.2168101966381073
212,730,0.2157294750213623
3,467,0.2367357462644577
3,3263,0.2357168346643448
3,2018,0.22946421802043915
3,1944,0.21641166508197784
3,2148,0.21625657379627228
4,492,0.24956361949443817
4,1310,0.23535582423210144
4,2088,0.20516788959503174
4,2193,0.20203757286071777
4,865,0.20011764764785767
99,3038,0.2320251166820526
99,2448,0.22716137766838074
99,2422,0.22580130398273468
99,728,0.22428636252880096
99,3216,0.2216436266899109
16,12,0.2553473114967346
16,1485,0.24224752187728882
16,801,0.23656733334064484
16,2443,0.2104138284921646
16,920,0.20930317044258118
375,1677,0.22715161740779877
375,1549,0.21010828018188477
375,2129,0.2096455991268158
375,1041,0.20566216111183167
375,2739,0.1953943371772766
109,2756,0.27392464876174927
109,3199,0.2703472673892975
109,2543,0.24646393954753876
109,965,0.24276454746723175
109,995,0.22838829457759857
515,3273,0.24006518721580505
515,1751,0.23235121369361877
515,1087,0.21425393223762512
515,1211,0.21389196813106537
515,2368,0.19381985068321228
516,3253,0.2808975577354431
516,1911,0.2555285692214966
516,1131,0.2480476349592209
516,1331,0.23614084720611572
516,1066,0.22443799674510956
517,146,0.2463179975748062
517,3376,0.22021238505840302
517,135,0.2175472229719162
517,3185,0.21610623598098755
