source,target,weight
134,3144,0.22042198479175568
177,2973,0.24610264599323273
177,1309,0.23280930519104004
177,993,0.2283589243888855
130,1244,0.32583680748939514
130,2981,0.2543700933456421
130,2046,0.22549638152122498
228,2936,0.22771629691123962
228,943,0.21093624830245972
228,2703,0.20308896899223328
1,2888,0.26232367753982544
1,3107,0.2569790482521057
1,705,0.22485840320587158
23,1347,0.2382199913263321
23,3175,0.2309073656797409
23,1532,0.2283240556716919
128,2937,0.2449047863483429
128,2656,0.23123487830162048
128,1435,0.20919369161128998
694,95,0.2808292508125305
694,2650,0.2741054892539978
694,1770,0.24642308056354523
7,1350,0.23964667320251465
7,2948,0.23394159972667694
7,835,0.23299232125282288
2,1028,0.22775046527385712
2,768,0.2163715809583664
2,1434,0.2034924030303955
318,2696,0.27151602506637573
318,691,0.2154795229434967
318,206,0.20938825607299805
994,2955,0.2796950936317444
994,2836,0.23430973291397095
994,556,0.23376959562301636
382,3189,0.25627297163009644
382,2578,0.24328294396400452
382,1349,0.220490500330925
235,1835,0.3109434247016907
235,706,0.25084030628204346
235,1027,0.24416592717170715
118,3064,0.2517586946487427
118,1840,0.24438101053237915
118,934,0.23644259572029114
59,2480,0.2416674941778183
59,1563,0.22924920916557312
59,78,0.22454415261745453
214,1833,0.24966397881507874
214,3144,0.24716870486736298
214,1692,0.22863009572029114
133,3339,0.262448251247406
133,1603,0.25414958596229553
133,727,0.23897376656532288
90,2040,0.23914924263954163
90,1540,0.23022960126399994
90,1948,0.2091071903705597
407,2256,0.2719177305698395
407,179,0.21965815126895905
407,3324,0.21366466581821442
253,2804,0.26959121227264404
253,1375,0.23541602492332458
253,2075,0.22826042771339417
37,370,0.22891241312026978
37,2915,0.2158520370721817
37,2617,0.2122361958026886
501,2321,0.25841444730758667
501,2523,0.2137247920036316
501,2468,0.2000960409641266
0,1129,0.25134775042533875
0,1141,0.2323891818523407
0,3311,0.22296111285686493
28,586,0.26957082748413086
28,553,0.25002026557922363
28,692,0.23735353350639343
182,813,0.26272889971733093
182,2451,0.251710444688797
182,380,0.24778424203395844
1489,1399,0.26071080565452576
1489,3370,0.24950934946537018
1489,3172,0.24727730453014374
45,591,0.22007539868354797
45,3039,0.21201878786087036
45,1421,0.21092693507671356
16,12,0.2553473114967346
16,1485,0.24224752187728882
16,801,0.23656733334064484
189,1782,0.2842442989349365
189,1891,0.251090943813324
189,1362,0.24702335894107819
166,2811,0.3101871907711029
166,1253,0.2569655776023865
166,1526,0.2553137540817261
672,2393,0.22359198331832886
672,2667,0.212628573179245
672,1473,0.19699347019195557
595,3227,0.22694581747055054
595,2755,0.2192917913198471
595,584,0.21242721378803253
421,2862,0.23076513409614563
421,2719,0.2266910970211029
421,2323,0.2219587117433548
199,3294,0.23227040469646454
199,11,0.2218887358903885
199,1094,0.2141052931547165
154,172,0.2470976561307907
154,3086,0.23374079167842865
154,1931,0.2176646739244461
406,1968,0.24238033592700958
406,1871,0.24210907518863678
406,1807,0.21253153681755066
515,3273,0.24006518721580505
515,1751,0.23235121369361877
515,1087,0.21425393223762512
12,16,0.25534728169441223
12,1873,0.24146011471748352
12,3052,0.240804523229599
294,2784,0.26597729325294495
294,2378,0.24034008383750916
294,433,0.22719590365886688
72,2179,0.26793748140335083
72,1810,0.22810538113117218
72,54,0.20622162520885468
657,579,0.29213833808898926
657,1715,0.23131652176380157
657,2569,0.21636627614498138
265,2345,0.2808057963848114
265,750,0.2258920520544052
