source,target,weight
45,591,0.22007539868354797
45,3039,0.21201878786087036
203,1741,0.29279863834381104
203,2749,0.2597710192203522
204,1637,0.24020536243915558
204,1902,0.23850703239440918
205,1469,0.23889362812042236
205,633,0.2345162183046341
109,2756,0.27392464876174927
109,3199,0.2703472673892975
71,1067,0.2200002521276474
71,3182,0.2139422595500946
15,943,0.20533786714076996
15,1755,0.1969553679227829
11,481,0.23845066130161285
11,2080,0.22771666944026947
23,1347,0.2382199913263321
23,3175,0.2309073656797409
290,1182,0.2385317087173462
290,1954,0.22081716358661652
291,1575,0.28234878182411194
291,3372,0.232332244515419
293,3252,0.2677552103996277
293,185,0.2517043352127075
81,2389,0.2663748264312744
81,2122,0.2485734075307846
190,1666,0.2349475473165512
190,1504,0.21026095747947693
294,2784,0.26597729325294495
294,2378,0.24034008383750916
38,2400,0.24855221807956696
38,3080,0.20959624648094177
35,1702,0.2617233097553253
35,3026,0.22148515284061432
138,2235,0.26250573992729187
138,3195,0.2388918548822403
282,1283,0.23628877103328705
282,1440,0.2253992259502411
104,1373,0.24667099118232727
104,368,0.23130157589912415
161,3244,0.24435953795909882
161,3022,0.23670139908790588
84,1653,0.2182147204875946
84,117,0.21110032498836517
296,1777,0.23747476935386658
296,251,0.225259929895401
257,1961,0.2446349561214447
257,3310,0.21755844354629517
113,2316,0.2996457815170288
113,426,0.22669100761413574
6,1757,0.32758381962776184
6,553,0.21833866834640503
76,846,0.22016541659832
76,2359,0.21524296700954437
228,2936,0.22771629691123962
228,943,0.21093624830245972
0,1129,0.25134775042533875
0,1141,0.2323891818523407
297,824,0.2828475534915924
297,2580,0.2462853640317917
36,2312,0.23277775943279266
36,1361,0.23270656168460846
164,2165,0.2533879280090332
164,856,0.25121793150901794
8,2899,0.27506572008132935
8,331,0.23214590549468994
94,1184,0.24656346440315247
94,789,0.23000654578208923
52,1896,0.23624277114868164
52,34,0.23285137116909027
140,3280,0.24518649280071259
140,586,0.22868220508098602
62,1448,0.23284325003623962
62,2220,0.22380824387073517
5,1746,0.2296781688928604
5,2306,0.22859352827072144
10,384,0.24857313930988312
10,2212,0.24437539279460907
12,16,0.25534728169441223
12,1873,0.24146011471748352
153,465,0.2615970969200134
153,1730,0.2255917191505432
298,2137,0.23539602756500244
298,3032,0.23495158553123474
60,3236,0.26284947991371155
60,41,0.2623189091682434
25,454,0.24540013074874878
25,451,0.24067381024360657
46,733,0.3021053671836853
46,79,0.25002753734588623
182,813,0.26272889971733093
182,2451,0.251710444688797
7,1350,0.23964667320251465
7,2948,0.23394159972667694
2,1028,0.22775046527385712
2,768,0.2163715809583664
1,2888,0.26232367753982544
1,3107,0.2569790482521057
87,1665,0.25062012672424316
87,2139,0.2273162305355072
116,1264,0.27918270230293274
116,2492,0.22543193399906158
334,2601,0.2460390329360962
334,2012,0.2217392772436142
335,1585,0.22628256678581238
335,1996,0.21358077228069305
336,891,0.22410915791988373
336,1991,0.20980636775493622
212,1843,0.2442607879638672
212,3129,0.2323349118232727
99,3038,0.2320251166820526
