source,target,weight
1,2888,0.26232367753982544
1,3107,0.2569790482521057
255,850,0.23566856980323792
255,9,0.22910940647125244
256,1940,0.25802379846572876
256,1719,0.24855060875415802
32,2163,0.26110485196113586
32,2829,0.21689003705978394
11,481,0.23845066130161285
11,2080,0.22771666944026947
257,1961,0.2446349561214447
257,3310,0.21755844354629517
258,2401,0.2523208558559418
258,2743,0.2487075924873352
35,1702,0.2617233097553253
35,3026,0.22148515284061432
259,2797,0.28512436151504517
259,2258,0.23865972459316254
260,2111,0.267245888710022
260,2699,0.22986023128032684
261,964,0.24066603183746338
261,2129,0.22425247728824615
9,1552,0.22966697812080383
9,255,0.22910946607589722
24,980,0.247299924492836
24,2621,0.2170364409685135
161,3244,0.24435953795909882
161,3022,0.23670139908790588
39,1619,0.24934999644756317
39,1344,0.2185574620962143
4,492,0.24956361949443817
4,1310,0.23535582423210144
15,943,0.20533786714076996
15,1755,0.1969553679227829
262,2894,0.307120144367218
262,2371,0.2801585793495178
159,2409,0.27677085995674133
159,1235,0.2374429702758789
305,63,0.22635722160339355
305,658,0.21804089844226837
61,3135,0.2286021113395691
61,770,0.22230878472328186
45,591,0.22007539868354797
45,3039,0.21201878786087036
33,1029,0.2338600754737854
33,25,0.2286035716533661
97,300,0.2705094516277313
97,2742,0.25033825635910034
76,846,0.22016541659832
76,2359,0.21524296700954437
88,3374,0.3045034110546112
88,3028,0.23813948035240173
92,743,0.2596816420555115
92,2106,0.2355777770280838
286,1684,0.2631808817386627
286,2654,0.25326773524284363
17,2307,0.26593711972236633
17,1699,0.23566611111164093
169,3120,0.22285552322864532
169,698,0.21443167328834534
14,2620,0.2116972953081131
14,2276,0.20911414921283722
8,2899,0.27506572008132935
8,331,0.23214590549468994
166,2811,0.3101871907711029
166,1253,0.2569655776023865
20,2909,0.24529440701007843
20,1041,0.2389421910047531
6,1757,0.32758381962776184
6,553,0.21833866834640503
338,1901,0.24827741086483002
338,137,0.24824252724647522
85,226,0.24272583425045013
85,2016,0.2242620438337326
133,3339,0.262448251247406
133,1603,0.25414958596229553
376,1535,0.2598766088485718
376,2765,0.2459465116262436
278,2738,0.26125407218933105
278,1064,0.2215457409620285
182,813,0.26272889971733093
182,2451,0.251710444688797
377,2258,0.2666618824005127
377,1555,0.25857415795326233
228,2936,0.22771629691123962
228,943,0.21093624830245972
73,3378,0.26460883021354675
73,1555,0.25394895672798157
10,384,0.24857313930988312
10,2212,0.24437539279460907
2,1028,0.22775046527385712
2,768,0.2163715809583664
23,1347,0.2382199913263321
23,3175,0.2309073656797409
378,1794,0.2260877937078476
378,3146,0.2142816036939621
206,2750,0.2365562617778778
206,1581,0.2103247493505478
75,3365,0.2477499544620514
75,186,0.22462588548660278
218,1694,0.2824830114841461
218,2261,0.21894218027591705
220,2428,0.24136991798877716
220,1939,0.22484880685806274
227,1623,0.23559588193893433
227,412,0.21936848759651184
64,1307,0.23070649802684784
64,1002,0.23007601499557495
319,2395,0.2536014914512634
319,2994,0.23309877514839172
351,1096,0.26581764221191406
351,1650,0.25220417976379395
310,3305,0.22751682996749878
310,774,0.2266301065683365
34,3379,0.24954447150230408
34,213,0.2350645810365677
419,186,0.23025687038898468
419,2766,0.226975679397583
200,308,0.21728165447711945
200,250,0.19777442514896393
63,1496,0.2342270314693451
63,305,0.22635728120803833
51,2769,0.2874965965747833
51,2393,0.21543952822685242
195,2567,0.2493189573287964
195,1394,0.2346404790878296
135,3005,0.23150518536567688
135,517,0.217547208070755
226,646,0.26919329166412354
226,2641,0.26625582575798035
341,1000,0.2756633758544922
341,2800,0.2291603535413742
186,1689,0.2753508985042572
186,419,0.2302568405866623
5,1746,0.2296781688928604
5,2306,0.22859352827072144
122,3252,0.25636133551597595
122,1437,0.24508559703826904
59,2480,0.2416674941778183
59,1563,0.22924920916557312
212,1843,0.2442607879638672
212,3129,0.2323349118232727
447,1031,0.2713317573070526
447,2689,0.24051877856254578
340,1967,0.2626291513442993
340,1764,0.2268718183040619
103,954,0.25476768612861633
103,1279,0.2362017035484314
382,3189,0.25627297163009644
382,2578,0.24328294396400452
126,475,0.2925872802734375
126,2484,0.2168196588754654
463,2455,0.2595363259315491
463,2141,0.23862053453922272
98,716,0.2267640084028244
98,2181,0.20634803175926208
84,1653,0.2182147204875946
84,117,0.21110032498836517
37,370,0.22891241312026978
37,2915,0.2158520370721817
467,874,0.2516724765300751
467,3,0.2367357462644577
134,2225,0.25210583209991455
134,2459,0.2478846311569214
153,465,0.2615970969200134
153,1730,0.2255917191505432
469,1443,0.232805535197258
469,2526,0.21032288670539856
188,259,0.2310079038143158
188,1920,0.22834338247776031
470,1506,0.23886054754257202
470,2690,0.2278418242931366
60,3236,0.26284947991371155
60,41,0.2623189091682434
177,2973,0.24610264599323273
177,1309,0.23280930519104004
50,1408,0.29721948504447937
50,1204,0.27615422010421753
13,2136,0.23663151264190674
13,2324,0.23167026042938232
57,3261,0.23944224417209625
57,3177,0.23301313817501068
471,400,0.23726217448711395
471,1709,0.23339487612247467
243,911,0.2383953481912613
243,1086,0.22206051647663116
3,467,0.2367357462644577
3,3263,0.2357168346643448
267,2489,0.2607673704624176
267,1486,0.21542932093143463
354,1754,0.27276793122291565
354,1563,0.25876742601394653
164,2165,0.2533879280090332
164,856,0.25121793150901794
316,1163,0.2546560764312744
316,418,0.24609754979610443
62,1448,0.23284325003623962
62,2220,0.22380824387073517
322,3200,0.26317232847213745
322,603,0.24020196497440338
193,1900,0.2429371178150177
193,1502,0.22847631573677063
100,1829,0.25544360280036926
100,2161,0.23351672291755676
116,1264,0.27918270230293274
116,2492,0.22543193399906158
488,1955,0.24108484387397766
488,1759,0.2245122492313385
0,1129,0.25134775042533875
0,1141,0.2323891818523407
396,1213,0.25342121720314026
396,1464,0.2391323447227478
365,284,0.2227679342031479
365,652,0.21009160578250885
163,2617,0.218831405043602
163,2871,0.2175196409225464
331,1544,0.24779224395751953
331,8,0.23214592039585114
492,4,0.24956361949443817
492,1132,0.2482733577489853
254,2534,0.27419227361679077
254,3167,0.24131275713443756
16,12,0.2553473114967346
16,1485,0.24224752187728882
502,2830,0.24008162319660187
502,2959,0.2376907765865326
118,3064,0.2517586946487427
118,1840,0.24438101053237915
509,1101,0.23911012709140778
509,2549,0.2260030210018158
245,1659,0.2601241171360016
245,102,0.22546230256557465
510,890,0.2534308433532715
510,269,0.23263238370418549
280,2963,0.269727498292923
280,894,0.21986117959022522
403,1969,0.24052847921848297
403,1871,0.2281244695186615
511,862,0.27483057975769043
511,552,0.24222517013549805
28,586,0.26957082748413086
28,553,0.25002026557922363
81,2389,0.2663748264312744
81,2122,0.2485734075307846
197,1866,0.23768669366836548
197,3391,0.23240315914154053
99,3038,0.2320251166820526
99,2448,0.22716137766838074
138,2235,0.26250573992729187
138,3195,0.2388918548822403
530,1865,0.27112776041030884
530,327,0.25672072172164917
533,2799,0.28299680352211
533,3338,0.25449809432029724
534,1625,0.24063988029956818
534,2151,0.23510593175888062
325,2134,0.2443016618490219
325,146,0.23189197480678558
535,1951,0.25009652972221375
535,1173,0.2348642200231552
536,2087,0.21891482174396515
536,1638,0.20785793662071228
537,1665,0.2424565553665161
537,1030,0.2417609840631485
7,1350,0.23964667320251465
7,2948,0.23394159972667694
451,25,0.24067379534244537
451,2502,0.23905448615550995
348,1178,0.23829267919063568
348,40,0.23171113431453705
104,1373,0.24667099118232727
104,368,0.23130157589912415
288,506,0.24505265057086945
288,594,0.2423262596130371
412,3113,0.26093292236328125
412,3080,0.22265665233135223
68,1786,0.23073376715183258
68,411,0.21932867169380188
230,529,0.2517983317375183
230,800,0.251617968082428
91,995,0.2887839674949646
91,1193,0.22828549146652222
401,1594,0.2500236928462982
401,1355,0.24900762736797333
282,1283,0.23628877103328705
282,1440,0.2253992259502411
204,1637,0.24020536243915558
204,1902,0.23850703239440918
46,733,0.3021053671836853
46,79,0.25002753734588623
12,16,0.25534728169441223
12,1873,0.24146011471748352
210,2552,0.2519059479236603
210,3055,0.22522355616092682
538,1460,0.2798667848110199
538,2053,0.2765503227710724
539,2701,0.3072110414505005
539,1315,0.23300780355930328
540,2434,0.22306084632873535
540,1440,0.22177322208881378
541,1497,0.23363158106803894
541,1305,0.2288672924041748
542,465,0.24907445907592773
542,138,0.23126015067100525
543,1525,0.2490122765302658
543,3119,0.2240537703037262
544,2333,0.26106616854667664
544,2023,0.24300958216190338
38,2400,0.24855221807956696
38,3080,0.20959624648094177
170,2641,0.27050092816352844
170,848,0.22135406732559204
168,3330,0.27621057629585266
168,2482,0.24623748660087585
208,236,0.289316326379776
208,870,0.243736132979393
468,400,0.2612803876399994
468,2613,0.22820159792900085
556,994,0.23376959562301636
556,3134,0.23007327318191528
176,1210,0.24040590226650238
176,346,0.24037295579910278
438,2001,0.23222477734088898
438,448,0.2238713949918747
265,2345,0.2808057963848114
265,750,0.2258920520544052
189,1782,0.2842442989349365
189,1891,0.251090943813324
295,1778,0.22091525793075562
295,1242,0.21609172224998474
172,2837,0.2803109586238861
172,154,0.2470976859331131
140,3280,0.24518649280071259
140,586,0.22868220508098602
128,2937,0.2449047863483429
128,2656,0.23123487830162048
111,3070,0.2425146847963333
111,1444,0.21733346581459045
301,2342,0.23255003988742828
301,1129,0.23138117790222168
594,288,0.2423262894153595
594,1878,0.24157007038593292
398,743,0.237081840634346
398,2544,0.23272502422332764
222,3220,0.225073903799057
222,880,0.21738232672214508
149,385,0.2552909851074219
149,3044,0.24759164452552795
294,2784,0.26597729325294495
294,2378,0.24034008383750916
317,907,0.2613564729690552
317,2841,0.251646488904953
580,2937,0.24912290275096893
580,3360,0.23502975702285767
708,408,0.25543659925460815
708,1191,0.25034573674201965
633,205,0.23451627790927887
633,750,0.22252200543880463
270,1035,0.22109998762607574
270,3061,0.21997320652008057
