source,target,weight
3,467,0.2367357462644577
3,3263,0.2357168346643448
3,2018,0.22946421802043915
3,1944,0.21641166508197784
3,2148,0.21625657379627228
3,1627,0.21189655363559723
3,2523,0.20426273345947266
3,19,0.2039407193660736
3,2081,0.20327995717525482
3,2877,0.20297792553901672
82,3092,0.23388344049453735
82,1524,0.22192487120628357
82,1292,0.22000038623809814
82,1882,0.21401922404766083
82,2812,0.21306347846984863
82,1867,0.21275421977043152
82,538,0.21085692942142487
82,2703,0.19920912384986877
82,755,0.19886468350887299
82,1871,0.1962135136127472
35,1702,0.2617233097553253
35,3026,0.22148515284061432
35,2570,0.2122526466846466
35,3236,0.20986345410346985
35,2851,0.208486869931221
35,1912,0.20823265612125397
35,655,0.2015240341424942
35,1634,0.1984611600637436
35,1645,0.19822096824645996
35,1938,0.19679200649261475
195,2567,0.2493189573287964
195,1394,0.2346404790878296
195,2441,0.23039519786834717
195,1585,0.22743529081344604
195,1327,0.22129130363464355
195,1426,0.21775050461292267
195,2016,0.213758647441864
195,1574,0.21330039203166962
195,3066,0.2068367898464203
195,1502,0.20589375495910645
84,1653,0.2182147204875946
84,117,0.21110032498836517
84,2738,0.2108655869960785
84,1729,0.2092178761959076
84,1448,0.20552515983581543
84,1162,0.20465847849845886
84,2792,0.20173339545726776
84,2405,0.2016332596540451
84,126,0.1995086669921875
84,2862,0.19786393642425537
28,586,0.26957082748413086
28,553,0.25002026557922363
28,692,0.23735353350639343
28,2745,0.2174268364906311
28,3272,0.20642302930355072
28,896,0.2055772989988327
28,3151,0.1980345994234085
28,1763,0.19797548651695251
28,1957,0.19707335531711578
28,875,0.19620923697948456
224,1720,0.26477035880088806
224,1052,0.24939413368701935
224,2295,0.23542732000350952
224,3008,0.2299671620130539
224,1042,0.22088930010795593
224,2421,0.22036726772785187
224,814,0.20811913907527924
224,1511,0.20339718461036682
224,132,0.20300567150115967
224,2348,0.19791384041309357
369,1843,0.23584571480751038
369,3129,0.23545438051223755
369,774,0.23523597419261932
369,1159,0.22981828451156616
369,3085,0.21629859507083893
369,1751,0.21277759969234467
369,409,0.2117382138967514
369,2850,0.20488092303276062
369,2884,0.19837553799152374
369,1547,0.19271810352802277
6,1757,0.32758381962776184
6,553,0.21833866834640503
6,962,0.21600869297981262
6,1899,0.21523922681808472
6,786,0.20636288821697235
6,3005,0.2044990509748459
6,2914,0.19659388065338135
6,613,0.19279368221759796
6,2440,0.19223710894584656
6,2592,0.18897627294063568
1,2888,0.26232367753982544
1,3107,0.2569790482521057
1,705,0.22485840320587158
1,234,0.2206733673810959
1,994,0.21653592586517334
1,674,0.20886658132076263
1,2281,0.20176547765731812
1,1210,0.19869476556777954
1,2165,0.1979580819606781
1,340,0.1954987496137619
228,2936,0.22771629691123962
228,943,0.21093624830245972
228,2703,0.20308896899223328
228,189,0.20112644135951996
228,3396,0.19860462844371796
228,268,0.19785179197788239
228,1702,0.1958840787410736
228,1641,0.1958213597536087
228,3336,0.19261881709098816
228,3123,0.19177421927452087
218,1694,0.2824830114841461
218,2261,0.21894218027591705
218,2501,0.203713059425354
218,506,0.20335683226585388
218,925,0.20098178088665009
218,1209,0.19999150931835175
218,3282,0.1960393637418747
218,2784,0.19042982161045074
218,299,0.18740956485271454
218,1384,0.18626636266708374
566,2463,0.26846009492874146
566,847,0.24313196539878845
566,572,0.23486292362213135
566,299,0.20276662707328796
566,881,0.2022370994091034
566,1899,0.20212209224700928
566,31,0.19906969368457794
566,1384,0.19890587031841278
566,1278,0.1971541792154312
566,2037,0.1957952231168747
220,2428,0.24136991798877716
220,1939,0.22484880685806274
220,3038,0.21223686635494232
220,736,0.21103136241436005
220,552,0.21044762432575226
220,503,0.20837940275669098
220,2128,0.20687969028949738
220,195,0.2024029791355133
220,719,0.19621768593788147
220,571,0.19395697116851807
171,3025,0.2406846135854721
171,1843,0.21882674098014832
171,931,0.20750322937965393
171,2954,0.20748940110206604
171,385,0.2054823935031891
171,1359,0.20230118930339813
171,1484,0.20002381503582
171,3283,0.19446514546871185
171,922,0.19028526544570923
171,1005,0.18889406323432922
511,862,0.27483057975769043
511,552,0.24222517013549805
511,1174,0.20970790088176727
511,1066,0.20697151124477386
511,1412,0.2047174870967865
511,58,0.20380385220050812
511,520,0.19889071583747864
511,2642,0.19567914307117462
511,2934,0.19454579055309296
511,1128,0.19397157430648804
1678,1608,0.2397133708000183
1678,2199,0.23658543825149536
1678,1815,0.220574289560318
1678,2693,0.21564148366451263
1678,541,0.20951451361179352
1678,498,0.20545142889022827
1678,917,0.2050941288471222
1678,1583,0.20419204235076904
1678,2933,0.2017158567905426
1678,241,0.19915153086185455
164,2165,0.2533879280090332
164,856,0.25121793150901794
164,1265,0.23307164013385773
164,1897,0.2153669148683548
164,353,0.20787622034549713
164,3051,0.20656000077724457
164,1549,0.20032823085784912
164,746,0.19752007722854614
164,1926,0.19743330776691437
164,1511,0.1973588913679123
161,3244,0.24435953795909882
161,3022,0.23670139908790588
161,127,0.23259131610393524
161,2716,0.209193617105484
161,3180,0.19691726565361023
161,1633,0.1958845555782318
161,2009,0.19144216179847717
161,1941,0.1896560937166214
161,1461,0.1889343112707138
161,3269,0.1864818036556244
809,1010,0.23398688435554504
809,3407,0.2278597503900528
809,1852,0.22021527588367462
809,2177,0.21592259407043457
809,2410,0.2101128250360489
809,738,0.20091526210308075
809,358,0.1959906369447708
809,260,0.19571463763713837
809,1220,0.19445808231830597
809,2994,0.19329246878623962
182,813,0.26272889971733093
182,2451,0.251710444688797
182,380,0.24778424203395844
182,2629,0.24475689232349396
182,2029,0.24441072344779968
182,1608,0.2277010828256607
182,3064,0.22530196607112885
182,306,0.22388865053653717
