source,target,weight
236,208,0.2893162667751312
236,2150,0.25878041982650757
236,151,0.2220117747783661
236,357,0.2202739268541336
236,1785,0.21534240245819092
290,1182,0.2385317087173462
290,1954,0.22081716358661652
290,1873,0.21706709265708923
290,503,0.2087136059999466
290,769,0.2069222331047058
95,694,0.2808292508125305
95,321,0.25911274552345276
95,1781,0.23965132236480713
95,2201,0.2225787341594696
95,2352,0.21847985684871674
149,385,0.2552909851074219
149,3044,0.24759164452552795
149,3353,0.22589850425720215
149,2730,0.21783331036567688
149,2574,0.20922696590423584
5,1746,0.2296781688928604
5,2306,0.22859352827072144
5,1142,0.22631697356700897
5,3022,0.2262730598449707
5,463,0.21802011132240295
208,236,0.289316326379776
208,870,0.243736132979393
208,262,0.23450535535812378
208,849,0.2184932827949524
208,903,0.20970748364925385
226,646,0.26919329166412354
226,2641,0.26625582575798035
226,85,0.24272584915161133
226,112,0.23031648993492126
226,1467,0.21396605670452118
61,3135,0.2286021113395691
61,770,0.22230878472328186
61,3290,0.21785473823547363
61,2678,0.20747269690036774
61,2898,0.1979495733976364
1128,1554,0.2907063961029053
1128,832,0.2849291265010834
1128,2892,0.2328086942434311
1128,1241,0.21692636609077454
1128,11,0.21627087891101837
685,915,0.2089792937040329
685,59,0.20629695057868958
685,1603,0.1979411542415619
685,2115,0.1925746500492096
685,2261,0.19253695011138916
1,2888,0.26232367753982544
1,3107,0.2569790482521057
1,705,0.22485840320587158
1,234,0.2206733673810959
1,994,0.21653592586517334
0,1129,0.25134775042533875
0,1141,0.2323891818523407
0,3311,0.22296111285686493
0,2880,0.21992532908916473
0,1336,0.20553801953792572
2,1028,0.22775046527385712
2,768,0.2163715809583664
2,1434,0.2034924030303955
2,1639,0.1964263916015625
2,2374,0.19618462026119232
64,1307,0.23070649802684784
64,1002,0.23007601499557495
64,470,0.22102892398834229
64,924,0.2205696702003479
64,625,0.21780282258987427
483,995,0.2600744962692261
483,855,0.24888060986995697
483,1866,0.23843230307102203
483,442,0.22057770192623138
483,798,0.20817628502845764
